TripID,DepartureLocation,Destination,DepartureTime,Status,DriverID,VehicleID
521,Nazareth,Tel Aviv,2024-02-01 06:00:00,false,117,426
522,Ashkelon,Tel Aviv,2024-02-01 06:30:00,false,25,134
523,Ashdod,Ashkelon,2024-02-01 07:00:00,false,294,508
524,Nazareth,Tel Aviv,2024-02-01 07:30:00,true,357,494
525,Herzliya,Tel Aviv,2024-02-01 08:00:00,true,383,71
526,Bat Yam,Safed,2024-02-01 08:30:00,true,168,286
527,Raanana,Tel Aviv,2024-02-01 09:00:00,false,296,383
528,Eilat,Nazareth,2024-02-01 09:30:00,false,161,518
529,Ashkelon,Herzliya,2024-02-01 10:00:00,true,370,501
530,Safed,Bat Yam,2024-02-01 10:30:00,false,200,390
531,Nazareth,Tiberias,2024-02-01 11:00:00,true,443,247
532,Bat Yam,Jerusalem,2024-02-01 11:30:00,true,306,302
533,Haifa,Netanya,2024-02-01 12:00:00,true,395,206
534,Nazareth,Safed,2024-02-01 12:30:00,true,416,274
535,Beer Sheva,Ashkelon,2024-02-01 13:00:00,false,65,116
536,Netanya,Beer Sheva,2024-02-01 13:30:00,false,501,207
537,Tel Aviv,Ashdod,2024-02-01 14:00:00,false,378,357
538,Beer Sheva,Eilat,2024-02-01 14:30:00,false,448,310
539,Ashkelon,Tel Aviv,2024-02-01 15:00:00,false,75,403
540,Ashkelon,Nazareth,2024-02-01 15:30:00,true,98,289
541,Bat Yam,Tiberias,2024-02-01 16:00:00,true,346,479
542,Tel Aviv,Netanya,2024-02-01 16:30:00,false,165,441
543,Safed,Jerusalem,2024-02-01 17:00:00,false,492,444
544,Tel Aviv,Herzliya,2024-02-01 17:30:00,true,30,182
545,Beer Sheva,Ashdod,2024-02-01 18:00:00,true,478,77
546,Tel Aviv,Raanana,2024-02-01 18:30:00,true,395,36
547,Ashdod,Holon,2024-02-01 19:00:00,false,311,234
548,Ashkelon,Jerusalem,2024-02-01 19:30:00,true,212,324
549,Safed,Tel Aviv,2024-02-01 20:00:00,false,28,35
550,Eilat,Netanya,2024-02-01 20:30:00,false,425,509
551,Jerusalem,Haifa,2024-02-01 21:00:00,false,162,503
552,Holon,Eilat,2024-02-01 21:30:00,true,203,364
553,Tiberias,Ashkelon,2024-02-01 22:00:00,true,513,2
554,Nazareth,Tel Aviv,2024-02-01 22:30:00,false,163,186
555,Safed,Bat Yam,2024-02-01 23:00:00,false,213,448
556,Nazareth,Eilat,2024-02-01 23:30:00,false,22,457
557,Ashdod,Eilat,2024-02-02 00:00:00,false,394,135
558,Bat Yam,Herzliya,2024-02-02 00:30:00,false,383,325
559,Herzliya,Haifa,2024-02-02 01:00:00,false,378,399
560,Jerusalem,Beer Sheva,2024-02-02 01:30:00,true,230,264
561,Beer Sheva,Safed,2024-02-02 02:00:00,true,390,261
562,Ashkelon,Tiberias,2024-02-02 02:30:00,false,509,18
563,Haifa,Ashdod,2024-02-02 03:00:00,true,497,69
564,Safed,Eilat,2024-02-02 03:30:00,false,42,31
565,Ashdod,Jerusalem,2024-02-02 04:00:00,false,197,323
566,Holon,Herzliya,2024-02-02 04:30:00,true,476,260
567,Herzliya,Safed,2024-02-02 05:00:00,true,222,16
568,Safed,Beer Sheva,2024-02-02 05:30:00,false,35,430
569,Herzliya,Tel Aviv,2024-02-02 06:00:00,true,315,492
570,Nazareth,Safed,2024-02-02 06:30:00,false,104,93
571,Safed,Eilat,2024-02-02 07:00:00,false,64,270
572,Tiberias,Beer Sheva,2024-02-02 07:30:00,true,462,10
573,Ashkelon,Raanana,2024-02-02 08:00:00,false,195,52
574,Herzliya,Holon,2024-02-02 08:30:00,true,146,318
575,Ashkelon,Beer Sheva,2024-02-02 09:00:00,true,500,435
576,Ashdod,Netanya,2024-02-02 09:30:00,true,110,349
577,Nazareth,Eilat,2024-02-02 10:00:00,true,125,383
578,Bat Yam,Holon,2024-02-02 10:30:00,true,342,137
579,Bat Yam,Tiberias,2024-02-02 11:00:00,true,292,103
580,Beer Sheva,Eilat,2024-02-02 11:30:00,true,501,506
581,Tel Aviv,Holon,2024-02-02 12:00:00,false,200,189
582,Nazareth,Bat Yam,2024-02-02 12:30:00,true,54,11
583,Bat Yam,Raanana,2024-02-02 13:00:00,false,156,199
584,Tiberias,Eilat,2024-02-02 13:30:00,false,164,224
585,Eilat,Netanya,2024-02-02 14:00:00,false,301,60
586,Ashkelon,Beer Sheva,2024-02-02 14:30:00,false,369,386
587,Tiberias,Beer Sheva,2024-02-02 15:00:00,false,411,131
588,Raanana,Beer Sheva,2024-02-02 15:30:00,false,97,252
589,Netanya,Jerusalem,2024-02-02 16:00:00,false,456,407
590,Netanya,Tel Aviv,2024-02-02 16:30:00,true,336,108
591,Jerusalem,Holon,2024-02-02 17:00:00,false,414,358
592,Safed,Ashdod,2024-02-02 17:30:00,true,431,512
593,Netanya,Raanana,2024-02-02 18:00:00,true,196,174
594,Holon,Nazareth,2024-02-02 18:30:00,true,474,65
595,Herzliya,Ashdod,2024-02-02 19:00:00,true,508,287
596,Beer Sheva,Raanana,2024-02-02 19:30:00,false,132,125
597,Tiberias,Herzliya,2024-02-02 20:00:00,true,133,67
598,Nazareth,Netanya,2024-02-02 20:30:00,false,494,349
599,Herzliya,Beer Sheva,2024-02-02 21:00:00,true,128,458
600,Haifa,Netanya,2024-02-02 21:30:00,true,245,511
601,Beer Sheva,Herzliya,2024-02-02 22:00:00,true,53,258
602,Herzliya,Tel Aviv,2024-02-02 22:30:00,false,58,348
603,Ashkelon,Jerusalem,2024-02-02 23:00:00,false,413,331
604,Haifa,Nazareth,2024-02-02 23:30:00,true,441,175
605,Eilat,Nazareth,2024-02-03 00:00:00,false,242,410
606,Tel Aviv,Holon,2024-02-03 00:30:00,false,65,2
607,Bat Yam,Holon,2024-02-03 01:00:00,true,491,232
608,Tiberias,Ashdod,2024-02-03 01:30:00,false,170,257
609,Herzliya,Safed,2024-02-03 02:00:00,false,436,512
610,Eilat,Jerusalem,2024-02-03 02:30:00,true,358,52
611,Netanya,Raanana,2024-02-03 03:00:00,false,437,407
612,Eilat,Netanya,2024-02-03 03:30:00,false,43,434
613,Beer Sheva,Holon,2024-02-03 04:00:00,false,493,193
614,Netanya,Tel Aviv,2024-02-03 04:30:00,true,153,3
615,Tiberias,Ashdod,2024-02-03 05:00:00,true,114,19
616,Eilat,Raanana,2024-02-03 05:30:00,false,256,16
617,Haifa,Tel Aviv,2024-02-03 06:00:00,false,313,331
618,Herzliya,Ashkelon,2024-02-03 06:30:00,true,62,32
619,Holon,Jerusalem,2024-02-03 07:00:00,true,350,373
620,Ashkelon,Bat Yam,2024-02-03 07:30:00,true,505,428
621,Netanya,Eilat,2024-02-03 08:00:00,true,7,46
622,Jerusalem,Haifa,2024-02-03 08:30:00,false,97,34
623,Ashdod,Holon,2024-02-03 09:00:00,true,373,54
624,Bat Yam,Beer Sheva,2024-02-03 09:30:00,true,209,482
625,Haifa,Jerusalem,2024-02-03 10:00:00,true,441,216
626,Raanana,Safed,2024-02-03 10:30:00,true,122,187
627,Jerusalem,Nazareth,2024-02-03 11:00:00,false,78,162
628,Ashdod,Eilat,2024-02-03 11:30:00,false,132,217
629,Jerusalem,Netanya,2024-02-03 12:00:00,true,239,225
630,Jerusalem,Haifa,2024-02-03 12:30:00,false,98,350
631,Haifa,Jerusalem,2024-02-03 13:00:00,false,221,261
632,Herzliya,Tiberias,2024-02-03 13:30:00,true,133,337
633,Herzliya,Beer Sheva,2024-02-03 14:00:00,false,181,186
634,Ashdod,Jerusalem,2024-02-03 14:30:00,false,367,263
635,Eilat,Holon,2024-02-03 15:00:00,false,32,81
636,Netanya,Herzliya,2024-02-03 15:30:00,true,503,508
637,Netanya,Ashkelon,2024-02-03 16:00:00,false,245,188
638,Holon,Raanana,2024-02-03 16:30:00,true,235,466
639,Netanya,Bat Yam,2024-02-03 17:00:00,false,204,185
640,Herzliya,Nazareth,2024-02-03 17:30:00,false,455,374
641,Netanya,Bat Yam,2024-02-03 18:00:00,true,477,474
642,Tel Aviv,Ashkelon,2024-02-03 18:30:00,true,63,312
643,Ashdod,Tiberias,2024-02-03 19:00:00,false,309,67
644,Tiberias,Tel Aviv,2024-02-03 19:30:00,true,11,3
645,Netanya,Holon,2024-02-03 20:00:00,false,333,336
646,Eilat,Beer Sheva,2024-02-03 20:30:00,true,40,288
647,Bat Yam,Safed,2024-02-03 21:00:00,false,137,246
648,Tiberias,Safed,2024-02-03 21:30:00,false,83,32
649,Jerusalem,Holon,2024-02-03 22:00:00,true,197,52
650,Ashdod,Tiberias,2024-02-03 22:30:00,true,424,339
651,Nazareth,Bat Yam,2024-02-03 23:00:00,false,371,63
652,Netanya,Ashdod,2024-02-03 23:30:00,false,241,125
653,Herzliya,Jerusalem,2024-02-04 00:00:00,true,324,381
654,Herzliya,Ashkelon,2024-02-04 00:30:00,true,513,263
655,Raanana,Tiberias,2024-02-04 01:00:00,false,141,159
656,Holon,Eilat,2024-02-04 01:30:00,false,434,520
657,Holon,Ashkelon,2024-02-04 02:00:00,true,387,368
658,Ashkelon,Ashdod,2024-02-04 02:30:00,false,475,379
659,Ashdod,Netanya,2024-02-04 03:00:00,true,201,85
660,Raanana,Beer Sheva,2024-02-04 03:30:00,true,379,72
661,Holon,Haifa,2024-02-04 04:00:00,true,121,316
662,Beer Sheva,Ashdod,2024-02-04 04:30:00,false,254,64
663,Holon,Tel Aviv,2024-02-04 05:00:00,true,464,138
664,Raanana,Safed,2024-02-04 05:30:00,false,235,15
665,Nazareth,Holon,2024-02-04 06:00:00,false,244,266
666,Safed,Jerusalem,2024-02-04 06:30:00,true,448,225
667,Nazareth,Holon,2024-02-04 07:00:00,false,38,93
668,Herzliya,Tiberias,2024-02-04 07:30:00,true,418,215
669,Raanana,Holon,2024-02-04 08:00:00,true,330,72
670,Herzliya,Ashdod,2024-02-04 08:30:00,false,58,380
671,Raanana,Holon,2024-02-04 09:00:00,false,339,158
672,Haifa,Tiberias,2024-02-04 09:30:00,true,262,366
673,Jerusalem,Beer Sheva,2024-02-04 10:00:00,false,433,479
674,Holon,Haifa,2024-02-04 10:30:00,false,400,207
675,Tiberias,Herzliya,2024-02-04 11:00:00,false,460,356
676,Holon,Ashkelon,2024-02-04 11:30:00,true,5,6
677,Bat Yam,Jerusalem,2024-02-04 12:00:00,false,345,102
678,Ashdod,Beer Sheva,2024-02-04 12:30:00,false,211,70
679,Haifa,Ashkelon,2024-02-04 13:00:00,true,383,158
680,Tiberias,Ashkelon,2024-02-04 13:30:00,true,325,513
681,Beer Sheva,Herzliya,2024-02-04 14:00:00,true,181,314
682,Haifa,Safed,2024-02-04 14:30:00,false,254,443
683,Netanya,Herzliya,2024-02-04 15:00:00,false,325,116
684,Ashdod,Herzliya,2024-02-04 15:30:00,false,161,50
685,Jerusalem,Ashdod,2024-02-04 16:00:00,true,82,251
686,Nazareth,Holon,2024-02-04 16:30:00,false,105,2
687,Nazareth,Tel Aviv,2024-02-04 17:00:00,true,455,511
688,Ashkelon,Safed,2024-02-04 17:30:00,false,251,1
689,Raanana,Holon,2024-02-04 18:00:00,false,467,500
690,Tel Aviv,Ashdod,2024-02-04 18:30:00,true,177,122
691,Beer Sheva,Safed,2024-02-04 19:00:00,true,103,362
692,Nazareth,Safed,2024-02-04 19:30:00,false,268,17
693,Beer Sheva,Haifa,2024-02-04 20:00:00,false,494,191
694,Nazareth,Ashdod,2024-02-04 20:30:00,false,31,35
695,Herzliya,Eilat,2024-02-04 21:00:00,true,47,399
696,Tiberias,Jerusalem,2024-02-04 21:30:00,true,113,83
697,Ashkelon,Beer Sheva,2024-02-04 22:00:00,false,34,396
698,Safed,Beer Sheva,2024-02-04 22:30:00,false,369,437
